tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,favorite_count,retweet_count,jpg_url,img_num,prediction1,p1_conf,p1_dog,prediction2,p2_conf,p2_dog,prediction3,p3_conf,p3_dog
892420643555336193,,,2017-08-01 16:23:56+00:00,Twitter for iphone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,Phineas,,39467.0,8853.0,,1,Orange,9.7,False,Bagel,8.59,False,Banana,7.611,False
892177421306343426,,,2017-08-01 00:17:27+00:00,Twitter for iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,Tilly,,33819.0,6514.0,,1,Chihuahua,32.36,True,Pekinese,9.06,True,Papillon,6.896,True
891815181378084864,,,2017-07-31 00:18:03+00:00,Twitter for iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,Archie,,25461.0,4328.0,,1,Chihuahua,71.6,True,Malamute,7.83,True,Kelpie,3.138,True
891689557279858688,,,2017-07-30 15:58:51+00:00,Twitter for iphone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,Darla,,42908.0,8964.0,,1,Paper Towel,17.03,False,Labrador Retriever,16.81,True,Spatula,4.084,False
891327558926688256,,,2017-07-29 16:00:24+00:00,Twitter for iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10.0,Franklin,,41048.0,9774.0,,2,Basset,55.57,True,English Springer,22.58,True,German Short-Haired Pointer,17.522,True
891087950875897856,,,2017-07-29 00:08:17+00:00,Twitter for iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,,,20562.0,3261.0,,1,Chesapeake Bay Retriever,42.56,True,Irish Terrier,11.63,True,Indian Elephant,7.69,False
890971913173991426,,,2017-07-28 16:27:12+00:00,Twitter for iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10.0,Jax,,12041.0,2158.0,,1,Appenzeller,34.17,True,Border Collie,19.93,True,Ice Lolly,19.355,False
890729181411237888,,,2017-07-28 00:22:40+00:00,Twitter for iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10.0,,,56848.0,16716.0,,2,Pomeranian,56.61,True,Eskimo Dog,17.84,True,Pembroke,7.651,True
890609185150312448,,,2017-07-27 16:25:51+00:00,Twitter for iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,Zoey,,28226.0,4429.0,,1,Irish Terrier,48.76,True,Irish Setter,19.31,True,Chesapeake Bay Retriever,11.818,True
890240255349198849,,,2017-07-26 15:59:51+00:00,Twitter for iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,Cassie,doggo,32467.0,7711.0,,1,Pembroke,51.13,True,Cardigan,45.1,True,Chihuahua,2.925,True
890006608113172480,,,2017-07-26 00:31:25+00:00,Twitter for iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,,,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13.0,10.0,Koda,,31166.0,7624.0,,1,Samoyed,95.8,True,Pomeranian,1.39,True,Chow,0.817,True
889880896479866881,,,2017-07-25 16:11:53+00:00,Twitter for iphone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,,,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13.0,10.0,Bruno,,28268.0,5156.0,,1,French Bulldog,37.74,True,Labrador Retriever,15.13,True,Muzzle,8.298,False
889665388333682689,,,2017-07-25 01:55:32+00:00,Twitter for iphone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,,,,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13.0,10.0,,puppo,38818.0,8538.0,,1,Pembroke,96.63,True,Cardigan,2.74,True,Basenji,0.463,True
889638837579907072,,,2017-07-25 00:10:02+00:00,Twitter for iphone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,,,,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12.0,10.0,Ted,,27672.0,4735.0,,1,French Bulldog,99.17,True,Boxer,0.21,True,Staffordshire Bullterrier,0.15,True
889531135344209921,,,2017-07-24 17:02:04+00:00,Twitter for iphone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,,,,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13.0,10.0,Stuart,puppo,15359.0,2321.0,,1,Golden Retriever,95.34,True,Labrador Retriever,1.38,True,Redbone,0.796,True
889278841981685760,,,2017-07-24 00:19:32+00:00,Twitter for iphone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,,,,https://twitter.com/dog_rates/status/889278841981685760/video/1,13.0,10.0,Oliver,,25652.0,5637.0,,1,Whippet,62.62,True,Borzoi,19.47,True,Saluki,2.735,True
888917238123831296,,,2017-07-23 00:22:39+00:00,Twitter for iphone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,,,,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12.0,10.0,Jim,,29611.0,4709.0,,1,Golden Retriever,71.47,True,Tibetan Mastiff,12.02,True,Labrador Retriever,10.551,True
888804989199671297,,,2017-07-22 16:56:37+00:00,Twitter for iphone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,,,,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13.0,10.0,Zeke,,26080.0,4559.0,,1,Golden Retriever,46.98,True,Labrador Retriever,18.42,True,English Setter,7.348,True
